segment,model,avg_wape,avg_mae,avg_rmse,avg_bias_pct
Erratic,CrostonSBA,0.6672496597,3.4759198825,5.6975722313,-0.0222564813
Erratic,MA28,0.6656050682,3.4683848222,5.7011237144,0.0019486841
Erratic,SeasonalNaive7,0.8185501099,4.2668768565,7.1959730784,-0.0478773651
Erratic,Trend56,0.7228233616,3.7671616077,6.2233217557,0.0169432265
Erratic,WeekdayAvg4,0.6995711923,3.6451443831,6.0163779259,0.0019486821
Erratic,WeekdayAvg8,0.6816445192,3.5512203375,5.8152538935,0.0020085477
Intermittent,CrostonSBA,0.9608165622,0.7504463792,1.4609753688,-0.0445929430
Intermittent,MA28,0.9217881759,0.7202696602,1.4105754693,-0.0473315685
Intermittent,SeasonalNaive7,1.0554478566,0.8246857524,1.7042307059,-0.0815797461
Intermittent,Trend56,0.9691875974,0.7571782271,1.4962865512,0.0244557870
Intermittent,WeekdayAvg4,0.9524916410,0.7442698081,1.4750384887,-0.0473315691
Intermittent,WeekdayAvg8,0.9413421154,0.7355341713,1.4719046752,-0.0698485573
Lumpy,CrostonSBA,0.9812557499,1.4965294997,2.9283409119,-0.0120509422
Lumpy,MA28,0.9424590270,1.4379750490,2.9057864348,-0.0254196605
Lumpy,SeasonalNaive7,1.1116636992,1.6963496208,3.5948576927,-0.0593354863
Lumpy,Trend56,1.0102589528,1.5411771139,3.1213127772,0.0579997512
Lumpy,WeekdayAvg4,0.9933540225,1.5157907009,3.1090678374,-0.0254196606
Lumpy,WeekdayAvg8,0.9756290913,1.4888748725,3.0208431085,-0.0420859103
Smooth,CrostonSBA,0.4884374539,2.6533234914,4.3903926214,-0.0094455901
Smooth,MA28,0.4887196720,2.6547645728,4.3989621798,0.0230030535
Smooth,SeasonalNaive7,0.5852597952,3.1791896025,5.1718948682,-0.0205210862
Smooth,Trend56,0.5296237071,2.8769814968,4.8833417892,0.0437005407
Smooth,WeekdayAvg4,0.4967293640,2.6982746919,4.3305884997,0.0230030545
Smooth,WeekdayAvg8,0.4825725853,2.6213982105,4.1890295347,0.0204935850
