feature,importance_gain,share
rmean7,61819333.8769083,0.8052974376774928
rmean28,4213378.2152786255,0.0548861087291246
lag1,3539990.7114667892,0.04611414052151707
item_code,2327632.8223075867,0.03032120584460873
rmean56,1256240.5078544617,0.016364577206480643
wday,1114915.9487133026,0.014523594811169068
rstd28,518060.41107845306,0.006748580022462245
lag28,233125.3432006836,0.0030368370178657385
month,218729.6549539566,0.002849309748779075
lag7,216453.89864253998,0.002819664318920331
lag14,196492.54770946503,0.0025596352349610326
sell_price,195042.17742156982,0.0025407418014139938
snap,159306.44845294952,0.0020752257699849196
price_change_7d,158727.09885025024,0.002067678798490497
lag56,158319.43082809448,0.0020623682590026602
event_flag,142545.41419410706,0.0018568860193763747
store_code,140365.93693733215,0.0018284947809031177
dept_code,79254.31228256226,0.0010324164076746787
year,44306.541288375854,0.000577164811302
state_code,17647.494874954224,0.00022988734289056795
cat_code,15970.739534378052,0.00020804487557982875
